Lotto Max, 2023-11-08 11:28:42 PM, 2,41,40,35,44,36,22, Extra 49
Lotto Max, 2023-11-08 11:28:59 PM, 40,28,27,29,37,26,25, Extra 16
Lotto Max, 2023-11-08 11:29:01 PM, 25,21,42,38,10,16,27, Extra 29
Lotto Max, 2023-11-08 11:29:02 PM, 5,22,17,1,47,8,43, Extra 36
Lotto Max, 2023-11-08 11:29:03 PM, 45,21,41,28,33,15,27, Extra 9
Lotto Max, 2023-11-08 11:30:47 PM, 50,25,28,43,35,10,42, Extra 20
Lotto Max, 2023-11-08 11:33:00 PM, 5,19,49,35,40,42,16, Extra 37
Lotto Max, 2023-11-08 11:34:52 PM, 30,36,44,1,43,34,37, Extra 32
Lotto Max, 2023-11-08 11:36:26 PM, 14,47,23,29,48,26,42, Extra 40
Lotto Max, 2023-11-08 11:36:44 PM, 13,5,35,23,1,25,37, Extra 21
Lotto Max, 2023-11-8 11:38:05 PM, 37,3,22,43,13,20,33, Extra 31
Max, 2023-11-08 11:41:54 PM, 33,32,41,39,42,44,15, Extra 7
Max, 2023-11-09 12:51:41 PM, 29,17,35,41,14,45,40, Extra 9
Max, 2023/11/9 12:53:27 PM, 17,49,14,28,24,32,23, Extra 12
Max, 2023/11/9 1:19:59 PM, 25,45,44,41,33,50,5, Extra 29
